name,full_name,overall_rating
C. Robertson,Clark Robertson,67
C. Pontius,Chris Pontius,67
K. Anzai,安西 幸輝,67
Xisco Campos,Francisco Javier Campos Coll,67
S. Whalley,Shaun James Whalley,67
L. Kelly,Lloyd Kelly,67
B. Gueye,Babacar Gueye,67
L. Domínguez,Lucas Domínguez Irarrázabal,67
T. Geyer,Thomas Geyer,67
C. Gartner,Christian Gartner,67
A. Nouri,Amin Nouri,67
B. De Alba,Brayner Jesús De Alba Castro,67
R. Vera,Gonzalo Renzo Vera,67
K. Gjasula,Klaus Gjasula,67
T. Pochettino,Tomás Pochettino,67
L. Boeder,Lukas Boeder,67
M. Nalepa,Michał Nalepa,67
A. Al Hafith,Abdullah Fareed Al Hafith,67
S. Kroon,Simon Kroon,67
A. Wiegel,Andreas Wiegel,67
A. Masika,Ayub Timbe Masika,67
Borja Viguera,Borja Viguera Manzanares,67
K. Agard,Kieran Agard,67
S. Gnaka,Silas Gnaka,67
J. Amoroso,Emanuel Joel Amoroso,67
Lu Wenjun,吕文君,67
K. Roos,Kelle Roos,67
S. Ruprecht,Steven Ruprecht,67
Basilio,Basilio Sancho Agudo,67
Juande,Juan de Dios Prados López,67
M. Awad,Mohamed Awad,67
G. Miura,三浦 弦太,67
Renan Tojeiras,Renan Lorenzo Tojeiras Sampaio,67
M. Terki,Mehdi Terki,67
F. Migliore,Francesco Migliore,67
C. Schorch,Christopher Schorch,67
R. Gelmi,Roy Gelmi,67
R. Oxford,Reece Oxford,67
R. Würtz,Rasmus Würtz,67
N. Schouterden,Nils Schouterden,67
A. Bencharki,Achraf Bencharki,67
S. Jovanović,Saša Jovanović,67
E. Ndoj,Emanuele Ndoj,67
P. Klewin,Philipp Mickel Klewin,67
S. Raggett,Sean Raggett,67
J. Gómez,Jefferson José Gómez Genes,67
Claude Gonçalves,Joaquim Claude Gonçalves Araújo,67
M. Lowe,Max Lowe,67
A. Ludwig,Alexander Ludwig,67
K. Kratz,Kevin Kratz,67
C. Handke,Christopher Handke,67
V. N'Simba,Vital N'Simba,67
L. Robles,Luis Enrique Robles Ramírez,67
M. Sauer,Maximilian Sauer,67
C. Sepúlveda,Claudio Elías Sepúlveda Castro,67
S. Benyamina,Soufian Benyamina,67
A. El Kaabi,Ayoub El Kaabi,67
E. Sosa,Eduardo Sosa,67
J. Justin,James Justin,67
R. Salinas,Rodrigo Salinas,67
S. Ganz,Simone Andrea Ganz,67
Oriol Busquets,Oriol Busquets Mas,67
T. Mauricio,Tony Mauricio,67
J. Bendik,Joe Bendik,67
G. Merebashvili,Giorgi Merebashvili,67
S. Srnic,Slavoljub Srnic,67
F. Kadioglu,Ferdi Erenay Kadıoğlu,67
B. Jatta,Bakery Jatta,67
R. Manaj,Rey Manaj,67
Gustavo Pastinho,Gustavo Patrick Pastor Pombo,67
E. Lieftink,Elmo Lieftink,67
Renê Santos,Renê Ferreira dos Santos,67
Y. Akimoto,秋元 陽太,67
H. Sakhi,Hamza Sakhi,67
D. Furman,Dean Furman,67
F. Beijmo,Felix Beijmo,67
T. Paredes,Teodoro Paredes,67
Venanzio Meirás,Venanzio Luis Meirás Correia,67
K. Løkberg,Kristoffer  Løkberg,67
F. Serrarens,Fabian Serrarens,67
D. Jones,Derrick Jones,67
C. Maguire,Chris Maguire,67
Carlos Abad,Carlos Javier Abad Hernández Trujillo,67
L. Dos Santos,Laurent Dos Santos,67
Claudio Silbeiro,Claudio Ever Silbeiro Martins,67
K. Hoggas,Kévin Hoggas,67
Xande Silva,Alexandre Costa Silva,67
N. Rubio,Nicolás Rubio,67
V. Berisha,Veton Berisha,67
Carlos Ruiz,Carlos Ruiz Aránega,67
M. Bruscagin,Matteo Bruscagin,67
L. Paiva,Leandro Paiva,67
Luis Rioja,Luis Jesús Rioja González,67
P. Papp,Paul Papp,67
T. Sana,Tobias Sana,67
J. Anibaba,Jalil Anibaba,67
Rafael de Aseiro,Rafael Simão de Aseiro Vieira,67
J. Perch,James Perch,67
Zhang Yuning,张玉宁,67
S. Dawkins,Simon Dawkins,67
A. Nkaka,Aristote Nkaka,67
C. Espinosa,Carlos Felipe Ignacio Espinosa Contreras,67
A. Niz,Alexis Niz,67
J. Mena,Jefferson Mena Palacios,67
D. Vidošić,Dario Vidošić,67
M. Rutten,Moreno Rutten,67
Jorge Fellipe,Jorge Fellipe de Oliveira Figueiro,67
S. Nagasawa,長泽 骏,67
A. Gilbey,Alex Gilbey,67
A. Crawford,Ali Crawford,67
N. Siega,Nicholas Siega,67
Joni Montiel,Jonathan Montiel Caballero,67
Nacho,Ignacio Agustín Sánchez Romo,67
T. Petsos,Thanos Petsos,67
V. Rennella,Vincenzo Rennella,67
G. Gotti,Gustavo Gotti,67
S. Campo,Samuele Campo,67
I. Depe,İlhan Depe,67
Q. Westberg,Quentin Westberg,67
R. Vloet,Rai Vloet,67
S. Sutter,Scott Sutter,67
J. Opoku,Johnatan Opoku,67
K. Miyoshi,三好 康児,67
S. Aytaç,Sakıb Aytaç,67
S. Goss,Sean Goss,67
D. Bamba,Daouda Karamoko Bamba,67
I. Bandalovski,Ivan Bandalovski,67
Y. Koné,Youssouf Koné,67
M. Delgado,Marky Delgado,67
T. Rowe,Tommy Rowe,67
B. Kopplin,Björn Kopplin,67
A. Muyl,Alex Muyl,67
G. Honeyman,George Honeyman,67
J. McCarthy,Jason McCarthy,67
J. Valencia,Juan David Valencia Hinestroza,67
M. Mouandilmadji,Marius Mouandilmadji,67
K. Ota,太田 宏介,67
K. Pusch,Kolja Pusch,67
Hwang Ki Wook,황기욱 黄起旭,67
José Juan,José Juan Figueiras García,67
J. Harvey,Jordan Harvey,67
Bruno Costa,Bruno Xavier Almeida Costa,67
G. Itter,Gian-Luca Itter,67
S. Cosgrove,Sam Cosgrove,67
J. Monreal,Josepablo Monreal,67
Dani Martín,Daniel Martín Fernández,67
N. Solís,Nazareno Damián Solís,67
João Silva,João Pedro Pereira Silva,67
E. Mosquera,Elvis David Mosquera Valdés,67
M. Diagne,Modou Diagne,67
T. Kløve,Troels Kløve Hallstrom,67
J. Whatmough,Jack Whatmough,67
Sin Se Gye,신세계 申西桂,67
H. Hansson,Hallur Hansson,67
L. Schweers,Lion Schweers,67
R. Arias,Ramon Ginés Arias Quinteros,67
A. Mbekile,Asavela Mbekile,67
R. Weil,Richard Weil,67
M. Vilotić,Milan Vilotić,67
H. Stengel,Herman Sørby Stengel,67
J. Burić,Jasmin Burić,67
Gonçalo Cardoso,Gonçalo Bento Soares Cardoso,67
T. Casasola,Tiago Casasola,67
Joan Román,Joan Ángel  Román i Ollè,67
A. Halliday,Andrew Halliday,67
Gonzalo Verdú,Gonzalo Cacicedo Verdú,67
M. Polster,Matt Polster,67
G. Dobson,George Dobson,67
L. Hyam,Luke Hyam,67
G. McCleary,Garath McCleary,67
L. Camp,Lee Camp,67
N. Lozano,Neyder Lozano,67
K. Karami,Khalid Karami,67
D. Thomalla,Denis Thomalla,67
N. Marsman,Nick Marsman,67
D. Srbeny,Dennis Srbeny,67
C. Del Grosso,Cristiano Del Grosso,67
L. Geminiani,Lautaro Dante Geminiani,67
S. Rapp,Simone Rapp,67
J. Hergault,Jérôme Hergault,67
A. Miljković,Aleksandar Miljković,67
L. Díaz,Leandro Nicolás Díaz,67
A. Chermiti,Mohamed Amine Chermiti,67
F. N'Goma,Ferris N'Goma,67
A. Fuchs,Alexander Fuchs,67
M. Bostwick,Michael Bostwick,67
L. Wing,Lewis Wing,67
M. Djetei,Mohamed Djetei,67
S. Muroya,室屋 成,67
M. Steinmann,Matti Steinmann,66
J. Correa,José Érik Correa Villero,66
J. Naismith,Jason Naismith,66
K. Opseth,Kristian Fardal Opseth,66
K. Engel,Konstantin Engel,66
F. Ahmadzadeh,Farshad Ahmadzadeh,66
P. Strand,Petter  Strand,66
U. Bangura,Umaru Bangura,66
S. Ahannach,Soufyan Ahannach,66
K. Jóźwiak,Kamil Jóźwiak,66
B. Straalman,Bart Straalman,66
H. Çinemre,Hakan Çinemre,66
C. Rivas,Carlos Rivas,66
Neto Borges,Vivaldo Neto,66
Lucas,Lucas Alves de Araujo,66
D. Bakker,Danny Bakker,66
L. Burliga,Łukasz Burliga,66
E. Ibargüen,Edis Ibargüen,66
J. Emmanuel,Joshua Emmanuel,66
M. Ajani,Marvin Ajani,66
K. Paal,Kenneth Paal,66
F. Lohkemper,Felix Lohkemper,66
H. Taniguchi,谷口 博之,66
Valverde,Carlos Valverde Doblado,66
N. Maynard,Nicky Maynard,66
A. Witry,Aslak Fonn Witry,66
S. Diaz,Sebastián Díaz Aracena,66
Josimar Feijoo,Josimar Milton Feijoo Chissano,66
Y. Tafer,Yannis Tafer,66
D. Saddiki,Dries Saddiki,66
S. van den Berg,Sepp van den Berg,66
M. Boyle,Martin Boyle,66
T. Chong,Tahith Chong,66
A. Murillo,Andrés Murillo,66
A. Jaakkola,Anssi Jaakkola,66
K. Larsen,Kristoffer  Knudsen Larsen,66
D. Acosta,Danilo Acosta,66
Y. Regäsel,Yanni Regäsel,66
B. Alnwick,Ben Alnwick,66
G. Korte,Giovanni Korte,66
T. Teniste,Taijo Teniste,66
T. Andreu,Tony Andreu,66
A. Martínez,Ariel Elías Martínez Arce,66
M. Kennedy,Matthew Kennedy,66
F. El Mellali,Farid El Mellali,66
S. Moharrami,Sadegh Moharrami,66
S. Stolze,Sebastian Stolze,66
R. Åhman Persson,Robert Åhman Persson,66
D. Cole,Devante Cole,66
J. Levi,Jonathan Levi,66
J. Laursen,Jacob Barrett Laursen,66
João Pedro,João Pedro Almeida Machado,66
S. Horvath,Sascha Horvath,66
K. Igboananike,Kennedy Igboananike,66
Tiago Marques,Tiago Marques Rezende,66
F. Diarra,Fantamady Diarra,66
G. Rodríguez,Gonzalo Emanuel Rodríguez,66
L. Argudo,Luis Argudo,66
M. Angha,Martin Angha,66
R. Clark,Ricardo  Clark,66
O. Ribera,Oscar Ribera,66
F. Cosenza,Francesco Cosenza,66
F. Del Sole,Ferdinando Del Sole,66
A. Dembélé,Alliou Dembélé,66
M. Solís,Miguel Ángel Solís Lerma,66
D. Barinov,Dmitriy Barinov,66
J. Tverskov,Jeppe Tverskov,66
D. Balanta,Deivy Alexander Balanta Abonía,66
M. Lampson,Matt Lampson,66
L. Isgrove,Lloyd Isgrove,66
C. Forrester,Chris Forrester,66
O. Kiteishvili,Otar Kiteishvili,66
F. Proia,Federico Proia,66
A. Pinamonti,Andrea Pinamonti,66
Ham Seok Min,함석민 咸胜明,66
B. Valette,Baptiste Valette,66
J. Bøge,Jesper Bøge Pedersen,66
I. Erquiaga,Iván Erquiaga,66
D. Cappelletti,Daniel Cappelletti,66
T. Wada,和田 拓也,66
F. Perucchini,Filippo Perucchini,66
K. Arkivuo,Kari Arkivuo,66
A. Bernal,Alejandro Bernal Ríos,66
S. Miangue,Senna Miangue,66
A. Jacobsen,Anders K. Jacobsen,66
Alfred,Alfred Planas Moyà,66
R. Boguski,Rafał Boguski,66
J. Asoro,Joel Asoro,66
C. Depres,Clément Depres,66
M. Konczkowski,Martin Konczkowski,66
T. Hadebe,Teenage Hadebe,66
G. Lloris,Gautier Lloris,66
J. Meekings,Josh Meekings,66
S. Braken,Sven Braken,66
Bruno Leite,Bruno Miguel Santos Leite,66
D. Widgren,Dennis Widgren,66
N. Bärkroth,Nicklas Bärkroth,66
M. Kobras,Martin Kobras,66
N. Madonna,Nicola Madonna,66
T. Černý,Tomáš Černý,66
L. Martinelli,Luca Martinelli,66
J. Jones,Jamie Jones,66
J. Balkovec,Jure Balkovec,66
P. Herrmann,Patrick Herrmann,66
Renato,Renato Augusto Santos Júnior,66
S. Moyano,Sebastián Moyano,66
L. Königshofer,Lukas Königshofer,66
Juan Rodríguez,Juan Rodríguez Martínez,66
D. Martin,David Edward Martin,66
Mateus Anderson,Mateus Anderson Veloso Sousa,66
Tiago Castro,Tiago Augusto Oliveira Castro,66
A. Plizzari,Alessandro Plizzari,66
D. Gissi,Dylan Gissi,66
J. Bogle,Jayden Bogle,66
F. Ortega,Francisco Ortega,66
L. Bergsma,Léon Bergsma,66
Emílio Trevões,Emílio Dener Trevões Teixeira,66
M. Migliorini,Marco Migliorini,66
H. Jele,Happy Jele,66
H. Alpsoy,Harun Alpsoy,66
M. Halsti,Markus Halsti,66
S. Bidaoui,Soufiane Bidaoui,66
N. Ravaglia,Nicola Ravaglia,66
T. Szántó,Tamás Szántó,66
Danilo Sacrio,Danilo Manuel Sacrio Dano,66
Higinio,Higinio Marín Escavy,66
J. Rafferty,Joe Rafferty,66
N. Bakker,Nick Bakker,66
P. Becker,Pablo Ignacio Becker,66
F. Holthaus,Fabian Holthaus,66
K. Sadlier,Kieran Sadlier,66
S. Guri,Sindrit Guri,66
M. Lieder,Mart Lieder,66
I. Openda,Ikoma Loïs Openda,66
G. Rojas,Gabriel Rojas,66
N. Molina,Nahuel Molina,66
S. Adekugbe,Sam Adekugbe,66
M. Gouaida,Mohamed Gouaida,66
D. Bachmann,Daniel Bachmann,66
Z. Alomerović,Zlatan Alomerović,66
A. Tembeng,Abenego Tembeng,66
D. Zeefuik,Deyovaisio Zeefuik,66
C. Kerr,Cameron Kerr,66
R. Yates,Ryan Yates,66
C. Aneke,Chukwuemeka Ademola Amachi Aneke,66
K. Koizumi,小泉 庆,66
J. Wilson,James Wilson,66
N. Manfredini,Niccolò Manfredini,66
K. Mayi,Kévin Mayi,66
M. Laínez,Mauro Alberto Laínez Leyva,66
M. Ballmert,Markus Ballmert,66
F. Brillant,Frédéric Brillant,66
S. Diarra,Souleymane Diarra,66
Raphael Doninho,Raphael William Doninho Oliveira,66
Li Lei,李磊,66
K. Conboy,Kevin Conboy,66
O. Bouy,Ouasim Bouy,66
S. Mantom,Sam Mantom,66
C. Cercado,César Eduardo Cercado Luna,66
G. Nijholt,Gianluca Nijholt,66
A. El-Abd,Adam Mohamad El-Abd,66
E. Babayan,Edgar Babayan,66
Kim Yong Dae,김용대 金大勇,66
Trujillo,Ángel Trujillo Canorea,66
T. Adarabioyo,Oluwatosin Adarabioyo,66
M. Heylen,Michaël Heylen,66
L. Caballero,Luis Nery Caballero Chamorro,66
J. Tamm,Joonas Tamm,66
J. Bothroyd,Jay Bothroyd,66
S. Gryn,Sergiy Gryn,66
M. Thiede,Marco Thiede,66
Zhang Lu,张鹭,66
R. Lundqvist,Ramon Pascal Lundqvist,66
A. Maisonnial,Anthony Maisonnial,66
M. Jankowski,Maciej Jankowski,66
S. Camille,Samuel Geoffroy Camille,66
J. Norwood,James Norwood,66
Lucas,Lucas de Souza Cunha,66
P. Konate,Pa Konate,66
K. Ilsø,Ken Ilsø Larsen,66
K. Yonekura,米仓 恒貴,66
A. Taylor,Andrew Taylor,66
C. Tanner,Craig Tanner,66
G. Roberts,Gary Roberts,66
M. Rossmann,Maximilian Rossmann,66
L. Saldaña,Leonardo Enrique Saldaña Carvajal,66
J. Karacan,Jem Karacan,66
Alex Sola,Alex Sola López-Ocaña,66
U. Cardona,Ulises Cardona,66
J. Segura,Jorge Segura,66
J. Vela,Juan Camilo Vela Ospina,66
S. Scherder,Simon Scherder,66
E. Ómarsson,Elías Már Ómarsson,66
A. Brunst,Alexander Brunst-Zöllner,66
J. Abarca,Juan René Abarca Fuentes,66
B. Kessel,Benjamin Kessel,66
H. Ibusuki,指宿 洋史,66
J. Ojala,Juhani Ojala,66
F. Götze,Felix Götze,66
R. Guitane,Rafik Guitane,66
C. Itten,Cedric Itten,66
J. Drolè,Jean Armel Drolè,66
J. Espericueta,Jorge Jonathan Espericueta Escamilla,66
H. El Mokeddem,Hakim El Mokeddem,66
Iñigo Muñoz,Iñigo Muñoz Cuevas,66
P. Kurzweg,Peter Kurzweg,66
Li Ang,李昂,66
Jou Silva,Jorge Santos Silva,66
O. Bozanic,Oliver Bozanić,66
D. Frattesi,Davide Frattesi,66
C. McCann,Chris McCann,66
S. Mpontshane,Siyabonga Mpontshane,66
G. Sandoval,Gabriel Eduardo Sandoval Alarcón,66
A. Traoré,Adama Traoré,66
J. Juelsgård,Jesper Juelsgård Kristensen,66
S. Traut,Sascha Traut,66
D. Thopola,Diamond Thopola,66
T. Takagi,髙木 俊幸,66
G. Plet,Glynor Plet,66
R. Taylor,Ryan Taylor,66
J. Rothwell,Joe Rothwell,66
L. Hufnagel,Lucas Hufnagel,66
Jonatan Lucca,Jonatan Lucca,66
E. Nketiah,Eddie Nketiah,66
E. Apeh,Emmanuel Apeh,66
T. Renault,Thomas Renault,66
V. Prodell,Viktor Prodell,66
Arturo Molina,Arturo Molina Tornero,66
S. Hertner,Sebastian Hertner,66
C. Lykogiannis,Charalampos Lykogiannis,66
L. Michel,Luis Ernesto Michel Vergara,66
A. Loba,Aké Loba,66
S. Kurtuluş,Fatih Serkan Kurtuluş,66
T. Werner,Tobias Werner,66
S. McQueen,Sam McQueen,66
S. Kikuchi,菊地 俊介,66
H. Pell,Harry Pell,66
M. Coulibaly,Mamadou Coulibaly,66
Quim Araujo,Joaquim Araújo Delgado,66
K. Mets,Karol Mets,66
T. Zhamaletdinov,Timur Zhamaletdinov,66
Abdón,Abdón Prats Bastidas,66
K. Scherpen,Kjell Scherpen,66
A. Donnarumma,Antonio Donnarumma,66
L. Gugganig,Lukas Gugganig,66
Jung Seung Yong,정승용 郑胜永,66
L. Novak,Lee Novak,66
M. Abdellaoue,Mustafa Abdellaoue,66
R. Cierzniak,Radosław Cierzniak,66
C. Lobos,Carlos Lobos,66
R. Gartler,René Gartler,66
T. Akindele,Tesho Akindele,66
M. Restrepo,Andrés Mauricio Restrepo Gómez,66
F. Bong,Frédéric Bong,66
P. Joosten,Patrick Joosten,66
Yun Il Lok,윤일록 尹日录,66
L. Slagveer,Luciano Slagveer,66
A. Acosta,Alan Jesús Acosta Montañez,66
Sergio Gil,Sergio Gil Latorre,66
S. Stevens,Sonny Stevens,66
Z. Clark,Zander Clark,66
Lee Jong Ho,이종호 李俊浩,66
M. Oesterhelweg,Maximilian Oesterhelweg,66
D. Rose,Danny Rose,66
Ryu Won Woo,류원우 刘源佑,66
Paolo Fernandes,Paolo Fernándes Cantin,66
F. Vanzo,Floriano Vanzo,66
K. Finnbogason,Kjartan Henry Finnbogason,66
Óscar Pinchi,Óscar Francisco García Quintela,66
F. Forte,Francesco Forte,66
F. Evangelista,Fernando Evangelista Iglesias,66
L. Palmer,Liam Palmer,66
Dyjan Azevedo,Dyjan Carlos de Azevedo,66
M. Døhr Thychosen,Mads Døhr Thychosen,66
T. Loska,Tomasz Loska,66
D. Anderson,Djavan  Anderson,66
R. Tafazolli,Ryan Tafazolli,66
G. Burke,Graham Burke,66
I. Camará,Ibrahima Camará,66
M. Lekven,Magnus Lekven,66
E. Yao Guy,Eloge Koffi Yao Guy,66
M. Könnecke,Mike Könnecke,66
S. Skålevik,Steffen Lie Skålevik,66
H. Nakagawa,中川 寛斗,66
L. Vignali,Luca Vignali,66
D. Lachman,Darryl Lachman,66
A. Ligi,Alessandro Ligi,66
C. Rismark,Christian Eggen Rismark,66
S. Dembele,Siriki Dembele,66
B. Çamoğlu,Burak Çamoğlu,65
C. Colkett,Charlie Colkett,65
H. Toffolo,Harry Toffolo,65
A. Petre,Adrian Petre,65
P. Clement,Pelle Clement,65
N. Topor-Stanley,Nikolai Topor-Stanley,65
A. Bussaglia,Andrea Bussaglia,65
Benjamin Muscato,Benjamin Chris Muscato Selva,65
No Dong Geon,노동건 卢东件,65
C. Menz,Christoph Menz,65
Hugo,Hugo Claudio Vallejo Avilés,65
Avilés,Javier Avilés Cortés,65
T. Kanamori,金森 健志,65
J. Ríos,Juan David Ríos Henao,65
J. Ryerson,Julian Ryerson,65
J. Vitale,Julián Vitale,65
Óscar Whalley,Óscar Alexander Whalley Guardado,65
S. Mauk,Stefan Mauk,65
J. Haugaard,Jakob Haugaard,65
M. Ospitalieri,Marco Ospitalieri,65
Steven Vitória,Steven de Sousa Vitória,65
André Silva,André Oliveira Silva,65
M. Khubrani,Mohammed Abdu Khubrani,65
O. Berber,Oğuzhan Berber,65
M. Gollner,Manfred Gollner,65
M. Naamani,Mohamed Naamani,65
R. Williams,Randell Williams,65
Choi Hyo Jin,최효진 崔孝镇,65
C. Duvall,Chris Duvall,65
Song Jin Hyung,송진형 宋金亨,65
Z. Kozulj,Zvonimir Kozulj,65
J. Bijol,Jaka Bijol,65
M. Kopczyński,Michał Kopczyński,65
E. Ataseven,Eray Ataseven,65
M. Bolly,Mathis Gazoa  Kippersund Bolly,65
Willy,Luis Alfonso Ledesma Galán,65
A. Krešić,Anton Krešić,65
D. Castillo,Daniel Castillo,65
F. Milo,Federico Milo,65
B. Adjei-Boateng,Bismark Adjei-Boateng,65
S. Brandy,Sören Brandy,65
A. Smárason,Arnór Smárason,65
R. Massimo,Roberto Massimo,65
T. Bu Haymid,Tawfiq Bu Haymid,65
H. Acosta,Héctor Acosta Quintero,65
Edu Espiau,Eduardo David Espiau Hernández,65
T. Mpati,Tracy Mpati,65
M. Lund Nielsen,Matti Lund Nielsen,65
Allef,Allef de Andrade Rodrigues,65
S. Golbourne,Scott Golbourne,65
T. Božić,Tomislav Božić,65
N. Sonko Sundberg,Noah Sonko Sundberg,65
A. Stolz,Alexander Stolz,65
M. Orozco,Michael Orozco Fiscal,65
K. Świderski,Karol Świderski,65
J. Bjørdal,Johan Lædre Bjørdal,65
H. Matynia,Hubert Matynia,65
R. Kirilov,Radoslav Kirilov,65
K. Appiah,Kwesi Appiah,65
Loureiro,Miguel Loureiro Ameijenda,65
J. Pérez,Joshua Pérez,65
R. McArdle,Rory McArdle,65
L. Grozurek,Lukas Grozurek,65
Kim Jin Ya,김진야 金真冶,65
I. Šehić,Ibrahim Šehić,65
G. Gunning,Gavin Gunning,65
K. Ford,Kortne Ford,65
W. Ponce,Walter Ponce,65
P. Jerez,Patricio Felipe Jerez Aguayo,65
J. Guthrie,Jon Guthrie,65
K. Hemmings,Kane Hemmings,65
Henrique,Henrique de Andrade Silva,65
P. Haglund,Philip Haglund,65
F. Feuillassier,Francisco Feuillassier,65
J. Deschamps,Jorge Luis Deschamps,65
Y. M'Bone,Yannick M'Bone,65
Omar Santana,Omar Santana Cabrera,65
S. Gomez,Sebastián Gómez Londoño,65
J. Lozano,Jorge Lozano,65
L. Amos,Luke Amos,65
M. Langer,Michael Langer,65
E. Hajri,Enis Hajri,65
G. Bigirimana,Gael Bigirimana,65
Z. Arsenić,Zoran Arsenić,65
R. Scheu,Robin Scheu,65
H. Da Campo,Hernán Da Campo,65
Juan Cámara,Juan del Cármen Cámara Mesa,65
J. Clarke-Harris,Jonson Clarke-Harris,65
M. Oktay,Muhayer Oktay,65
D. Bergqvist,Douglas Bergqvist,65
J. Arias,Jafar Arias,65
C. Dikamona,Clévid Dikamona,65
José González,José Antonio González Estrada,65
J. Carranza,Julián Carranza,65
F. Beltrán,Fernando Beltrán Cruz,65
C. Cropper,Cody Cropper,65
P. Sohm,Pascal Sohm,65
Carlos Cordero,Carlos Cordero Pérez,65
A. Hadžiahmetović,Amir Hadžiahmetović,65
C. Halkett,Craig Halkett,65
H. Bjørdal,Henrik Rørvik Bjørdal,65
J. Derstroff,Julian-Maurice Derstroff,65
Han Peng,韩鹏,65
K. Ceesay,Kebba Ceesay,65
A. Duarte,Alejandro Duarte,65
T. Röttger,Timo Röttger,65
M. Leitsch,Maxim Leitsch,65
J. Leiva,Juan Andrés Leiva Mieres,65
S. Torrizales,Silvano Torrizales,65
Gabriel Rodrigues,Gabriel Rodrigues da Silva,65
R. Gojani,Robert Gojani,65
C. Palomeque,Cristian Andrés Palomeque Valoyes,65
P. Madden,Paddy Madden,65
R. Edwards,Ryan Edwards,65
A. Marciniak,Adam Marciniak,65
G. Poussin,Gaëtan Poussin,65
Viti,Víctor Álvarez Rozada,65
Damià,Damià Sabater Tous,65
Mauro Cerqueira,Mauro Rafael Geral Cerqueira,65
M. Pinto,Marcos Pinto,65
L. Berry,Luke Berry,65
Raphael Silva,Raphael da Silva Arruda,65
M. Dauda,Mohammed Dauda,65
R. Kerschbaum,Roman Kerschbaum,65
A. Batsula,Andriy Batsula,65
B. Innocent,Bonke Innocent,65
G. Esparza,Cristian Gabriel Esparza,65
O. García,Olmes García,65
J. Hanson,Jamie Hanson,65
H. Zuck,Hendrick Zuck,65
M. Kirkeskov,Mikkel Kirkeskov,65
M. Giannikoglou,Makis Giannikoglou,65
Pedro Silva,Pedro José Moreira da Silva,65
Choi Kyu Baek,최규백 崔圭伯,65
Erik Expósito,Erik Alexander Expósito Hernández,65
N. Aankour,Nabil Aankour,65
G. Paquiez,Gaëtan Paquiez,65
T. Hołota,Tomasz Hołota,65
Raul Asencio,Raúl José Asencio Moraes,65
E. Pinnock,Ethan Pinnock,65
S. O'Neill,Shane O'Neill,65
J. Jervis,Jake Jervis,65
R. Wallace,Rodney Wallace,65
Jaquité,João Lamine Jaquité,65
T. Børven,Torgeir Børven,65
A. Leautey,Antoine Leautey,65
N. Landgraf,Niklas Landgraf,65
H. Piedra,Hamilton Piedra,65
B. Saka,Bukayo Saka,65
S. Al Jaman,Saleh Al Jaman,65
W. Marinus,Wouter Marinus,65
J. Mills,Joseph Mills,65
A. Østbø,Arild Østbø,65
K. Guédé,Karim Guédé,65
S. Ibeagha,Sebastien Uchechukwu Ibeagha,65
Mayoral,David Mayoral Lastras,65
K. Eisele,Kai Eisele,65
O. Verdon,Olivier Verdon,65
S. Olsson,Simon Olsson,65
P. Gladon,Paul Gladon,65
C. Pickel,Charles Pickel,65
J. Sargent,Josh Sargent,65
K. Hashimoto,橋本 拳人,65
G. Melkadze,Georgiy Melkadze,65
A. Palavecino,Augustín Palavecino,65
N. Korzun,Nikita Korzun,65
J. Riley,Joe Riley,65
O. Marciano,Ofir Marciano,65
A. Butler,Andy Butler,65
O. Cissé,Ousseynou Cissé,65
B. Al Nakhli,Bader Al Nakhli,65
Yoon Bit Garam,윤빛가람 尹光河,65
T. Holý,Tomáš Holý,65
J. Serrano,Julien Serrano,65
R. Seigers,Rubin Seigers,65
G. Fechner,Gino Fechner,65
A. Borysiuk,Ariel Borysiuk,65
K. Sheppard,Karl Sheppard,65
Junio,Junio Ricardo da Rocha,65
C. Martinez,Cristian Martinez,65
P. Yrizar,Paolo Yrizar,65
Hwang In Beom,황인범 In Beom Hwang,65
M. Johnston,Michael Johnston,65
S. Romero,Sergio Esteban Romero Méndez,65
B. Shea,Brek Shea,65
J. Thomassen,Jordy Thomassen,65
Gao Zhunyi,高准翼,65
U. Garcia,Ulisses Garcia,65
J. Welsh,John Welsh,65
L. Brown,Lee Brown,65
M. Bülter,Marius Bülter,65
A. Hanche-Olsen,Andreas Hanche-Olsen,65
A. Diallo,Abdoulaye Diallo,65
C. Mandouki,Cyril Mandouki,65
J. Godínez,Jesús Godínez,65
E. Iyoha,Emmanuel Iyoha,65
J. Cano,Jhon Alexander Cano Angulo,65
C. Klem,Christian Klem,65
I. Paro,Issouf Paro,65
Iury,Iury Lirio Freitas de Castilho,65
J. Pohl,Jannik Pohl,65
A. Kolev,Alexander Kolev,65
Brugui,Roger Brugué Ayguade,65
F. Knudsen,Fredrik Pallesen Knudsen,65
C. Laprevotte,Charles Elie Laprevotte,65
T. Hopper,Tom Hopper,65
H. Dahmani,Hamdi Dahmani,65
J. Ness,Jamie Ness,65
O. Eddahri,Omar Eddahri,65
A. Corsi,Angelo Corsi,65
A. Falatah,Adnan Ibrahem Falatah,65
César Ortiz,César Ortiz Puentenueva,65
J. Toivio,Joona Toivio,65
D. Baumann,Dominic Baumann,65
S. Wagstaff,Scott Wagstaff,65
João Moutinho,João Gervásio Bragança Moutinho,65
D. Gazdag,Dániel Gazdag,65
N. Medvedev,Nikita Medvedev,65
D. Charles,Darius Charles,65
