team,players
tajikistan,"Rustam Yatimov, Zoir Dzhuraboev, Parvizdzhon Umarbaev, Ekhson Pandzhshanbe, Vakhdat Khanonov, Amadoni Kamolov, Shakhrom Samiev, Manuchekhr Safarov, Alisher Shukurov, Amirbek Dzhuraboev, Akhtam Nazarov"
trinidad and tobago,"Levi García, Ajani Fortune, Noah Powder, Reon Moore, Aubrey David, Shannon Gómez, Neveal Hackshaw, Judah García, Daniel Phillips, Alvin Jones, Andre Rampersad"
benin,"Steve Mounié, Aiyegun Tosin, Cédric Hountondji, Andreas Hountondji, David Kiki, Tamimou Ouorou, Jodel Dossou, Sessi D'Almeida, Yohan Roche, Mohamed Tijani, Junior Olaitan"
belarus,"Kirill Kaplenko, Maks Ebong, Vladislav Morozov, Valeriy Gromyko, Valeriy Bocherov, Egor Karpitskiy, Danila Nechaev, Evgeniy Yablonskiy, Gleb Shevchenko, Kirill Pechenin, Sergey Karpovich"
armenia,"Eduard Spertsyan, Nair Tiknizyan, Edgar Sevikyan, Vahan Bichakhchyan, Georgiy Harutyunyan, Varazdat Haroyan, Kamo Hovhannisyan, Hovhannes Harutyunyan, Styopa Mkrtchyan, Artur Miranyan, Artur Serobyan"
angola,"David Carmo, Benson Manuel, Clinton Mata, Felício Milson, Núrio Fortuna, Randy Nteka, Show, Mabululu, Kialonda Gaspar, Jordy Gaspar, Jérémie Bela"
palestine,"Oday Dabbagh, Omar Faraj, Mahmoud Eid, Michel Termanini, Yaser Hamed, Zaid Qunbar, Rami Hamada, Camilo Saldaña, Mohammed Rashid, Mohammed Saleh, Mus'ab Al-Batat"
uganda,"Elio Capradossi, Timothy Dennis Awany, Bevis Mugabi, Uche Ikpeazu, Halid Lwaliwa, Allan Okello, Ismail Watenga, Fahad Bayo, Rogers Mato, Isaac Muleme, Steven Mukwala"
curaçao,"Juninho Bacuna, Joshua Brenet, Ar'jany Martha, Jürgen Locadia, Kenji Gorré, Xander Severina, Sherel Floranus, Godfried Roemeratoe, Eloy Room, Leandro Bacuna, Juriën Gaari"
haiti,"Jean-Kévin Duverne, Danley Jean Jacques, Duckens Nazon, Fafà Picault, Carlens Arcus, Ricardo Adé, Louicius Don Deedson, Dany Jean, Leverton Pierre, Mondy Prunier, Martin Expérience"
syria,"Jalil Elías, Tobías Cervera, Omar Al-Somah, Ezequiel Ham, Emiliano Amor, Daleho Irandust, Mohammad Anez, Alaa Al-Dali, Ammar Ramadan, Moayad Ajan, Mohammad Al-Hallaq"
luxembourg,"Christopher Martins Pereira, Anthony Moris, Gerson Rodrigues, Mathias Olesen, Olivier Thill, Florian Bohnert, Danel Sinani, Maxime Chanot, Enes Mahmutovic, Mirza Mustafic, Laurent Jans"
zambia,"Patson Daka, Edward Chilufya, Kings Kangwa, Ghampani Lungu, Miguel Chaiwa, Emmanuel Banda, Evans Kangwa, Lubambo Musonda, Toaster Nsabata, Kingstone Mutandwa, Benson Sakala"
bolivia,"Gabriel Sotomayor, José Sagredo, Ramiro Vaca, Carmelo Algarañaz, Lucas Chávez, Denilson Durán, Boris Céspedes, Jesús Sagredo, Carlos Sejas, Erwin Saavedra, Miguel Villarroel"
bulgaria,"Kiril Despodov, Ilia Gruev, Filip Krastev, Anton Nedyalkov, Martin Minchev, Aleks Petkov, Georgi Rusev, Viktor Popov, Marin Petkov, Ivan Turitsov, Ivan Dyulgerov"
gabon,"Mario Lemina, Jim Allevinah, Shavy Babicka, Guélor Kanga, Aaron Appindangoyé, Jacques Ekomié, Axel Méyé, Noha Lemina, Alex Moucketou-Moussounda, David Sambissa, Clench Loufilou"
honduras,"Rigoberto Rivas, David Ruíz, Deybi Flores, Andy Nájar, Bryan Róchez, Alexander López, Michaell Chirinos, Douglas Martínez, Edwin Rodríguez, Wesly Decas, Jorge Álvarez"
equatorial guinea,"Basilio Ndong, Luís Asué, Salomón Obama, Federico Bikoro, Santiago Eneme, Joanet López, Fede Nguema, Luis Meseguer, Noé Ela, José Nabil, Manuel Sapunga"
bahrain,"Ali Madan, Jassim Al-Shaikh, Hamad Al-Shamsan, Mohamed Marhoon, Mahdi Al-Humaidan, Yusuf, Sayed Baqer, Ahmed Al-Sherooqi, Ebrahim Lutfalla, Moses Atede, Waleed Al-Hayyam"
israel,"Oscar Gloukh, Liel Abada, Mohammed Abu Fani, Anan Khalaili, Omri Glazer, Gadi Kinda, Eli Dasa, Dor Turgeman, Ramzi Safuri, Gabi Kanichowsky, Dor Peretz"
el salvador,"Mario González, Bryan Tamacas, Christian Martínez, Nelson Bonilla, Narciso Orellana, Jeremy Garay, Melvin Cartagena, Pablo Punyed, Rudy Clavel, Darwin Cerén, Amando Moreno"
china,"Lei Wu, Tyias Browning, Shenglong Jiang, Yuning Zhang, Shihao Wei, Chenjie Zhu, Yang Liu, Pengfei Xie, Shangyuan Wang, Tianyi Gao, Junling Yan"
oman,"Salah Al-Yahyaei, Zahir Al-Aghbari, Abdullah Fawaz, Ahmed Al-Kaabi, Arshad Al-Alawi, Jameel Al-Yahmadi, Ibrahim Al-Mukhaini, Fahmi Durbein, Ahmed Al-Khamisi, Essam Al-Subhi, Muhsen Al-Ghassani"
guinea,"Serhou Guirassy, Mohamed Bayo, Ilaix Moriba, Abdoulaye Touré, Issiaga Sylla, Aguibou Camara, Saïdou Sow, Amadou Diawara, Morlaye Sylla, Aliou Baldé, Ibrahim Diakité"
bosnia-herzegovina,"Ermedin Demirovic, Amar Dedic, Anel Ahmedhodzic, Sead Kolasinac, Rade Krunic, Benjamin Tahirovic, Jusuf Gazibegovic, Denis Huseinbasic, Edin Dzeko, Haris Hajradinovic, Haris Tabakovic"
northern ireland,"Conor Bradley, Shea Charles, Trai Hume, Paddy McNair, Ali McCann, Isaac Price, Callum Marshall, Conor Hazard, Bailey Peacock-Farrell, Brodie Spencer, Jordan Thompson"
iceland,"Albert Gudmundsson, Hákon Arnar Haraldsson, Kristian Hlynsson, Sverrir Ingi Ingason, Ísak Jóhannesson, Arnór Sigurdsson, Jón Dagur Thorsteinsson, Alfons Sampsted, Hákon Rafn Valdimarsson, Willum Thór Willumsson, Mikael Egill Ellertsson"
jordan,"Mousa Tamari, Yazan Al-Naimat, Noor Al-Rawabdeh, Ali Olwan, Mahmoud Al-Mardi, Yazan Al-Arab, Nizar Al-Rashdan, Yazeed Abulaila, Ehsan Haddad, Sisa, Sharara"
montenegro,"Adam Marusic, Nikola Krstovic, Igor Vujacic, Sead Haksabanovic, Stefan Savic, Viktor Djukanovic, Andrija Radulovic, Uros Djurdjevic, Matija Sarkic, Risto Radunovic, Slobodan Rubezic"
north macedonia,"Eljif Elmas, Enis Bardhi, Stole Dimitrievski, Ezgjan Alioski, Bojan Miovski, Darko Churlinov, Darko Velkovski, Jani Atanasov, Agon Elezi, Nikola Serafimov, Gjoko Zajkov"
ghana,"Mohammed Kudus, Ernest Nuamah, Mohammed Salisu, Tariq Lamptey, Salis Abdul Samed, Antoine Semenyo, Issahaku Fatawu, Alexander Djiku, Alidu Seidu, Osman Bukari, Daniel Amartey"
united arab emirates,"Fábio Lima, Yahya Al-Ghassani, Ali Saleh, Khaled Ebraheim, Yahia Nader, Harib Suhail, Majid Rashid, Khalifa Al-Hammadi, Abdulla Idrees, Khalid Hashemi, Ali Salmin"
albania,"Armando Broja, Kristjan Asllani, Ernest Muci, Berat Djimsiti, Myrto Uzuni, Marash Kumbulla, Nedim Bajrami, Ylber Ramadani, Elseid Hysaj, Thomas Strakosha, Taulant Seferi"
cape verde,"Logan Costa, Jovane, Jamiro Monteiro, Hélio Varela, Steven Moreira, Garry Rodrigues, Willy Semedo, Kevin Lenini, Bryan Teixeira, Diney Borges, Ryan Mendes"
uzbekistan,"Eldor Shomurodov, Abbosbek Fayzullaev, Otabek Shukurov, Abdukodir Khusanov, Jaloliddin Masharipov, Odildzhon Khamrobekov, Khusniddin Alikulov, Oston Urunov, Bobur Abdikholikov, Azizbek Turgunboev, Jamshid Iskanderov"
democratic republic of the congo,"Yoane Wissa, Simon Banza, Chancel Mbemba, Meschack Elia, Arthur Masuaku, Théo Bongonda, Noah Sadiki, Grady Diangana, Samuel Moutoussamy, Gédéon Kalulu, Samuel Essende"
burkina faso,"Edmond Tapsoba, Dango Ouattara, Issa Kaboré, Lassina Traoré, Adamo Nagalo, Ibrahim Blati Touré, Nasser Djiga, Gustavo Sangaré, Mohamed Ouédraogo, Cedric Badolo, Ismahila Ouédraogo"
finland,"Glen Kamara, Joel Pohjanpalo, Fredrik Jensen, Kaan Kairinen, Lukas Hradecky, Robin Lod, Teemu Pukki, Jere Uronen, Daniel Håkans, Jesse Joronen, Richard Jensen"
republic of ireland,"Evan Ferguson, Nathan Collins, Caoimhín Kelleher, Gavin Bazunu, Josh Cullen, Andrew Omobamidele, Jake O'Brien, Chiedozie Ogbene, Sammie Szmodics, Dara O'Shea, Festy Ebosele"
iraq,"Zidane Iqbal, Montader Madjed, Amir Al-Ammari, Bashar Resan, Dhurgham Ismail, Ibrahim Bayesh, Safaa Hadi, Frans Putros, Hussein Ali, Ahmed Basil, Youssef Amyn"
south africa,"Lyle Foster, Teboho Mokoena, Percy Tau, Aubrey Modiba, Thapelo Morena, Iqraam Rayners, Nkosinathi Sibisi, Siyabonga Ngezana, Khuliso Mudau, Ronwen Williams, Nyiko Mobbie"
slovenia,"Benjamin Sesko, Jan Oblak, Jaka Bijol, Sandi Lovric, Andraz Sporar, Tomi Horvat, Jon Gorenc Stankovic, Zan Celar, David Brekalo, Miha Zajc, Vanja Drkusic"
jamaica,"Demarai Gray, Bobby De Cordova-Reid, Shamar Nicholson, Joel Latibeaudiere, Dexter Lembikisa, Andre Blake, Jamal Lowe, Di'Shon Bernard, Tayvon Gray, Renaldo Cephas, Kasey Palmer"
paraguay,"Julio Enciso, Miguel Almirón, Mathías Villasanti, Antonio Sanabria, Gustavo Gómez, Júnior Alonso, Ramón Sosa, Adam Bareiro, Jesús Medina, Kaku, Andrés Cubas"
venezuela,"Jefferson Savarino, Cristian Cásseres Jr., Jhon Murillo, José Martínez, Daniel Pereira, Darwin Machís, Jon Aramburu, Jhonder Cádiz, Yordan Osorio, Sergio Córdova, Nahuel Ferraresi"
saudi arabia,"Firas Al-Buraikan, Saud Abdulhamid, Abdulrahman Ghareeb, Salem Al-Dawsari, Sultan Al-Ghannam, Yasser Al-Shahrani, Sami Al-Najei, Mohamed Kanno, Mohammed Al-Burayk, Faisal Al-Ghamdi, Saleh Al-Shehri"
costa rica,"Manfred Ugalde, Julio Cascante, Juan Pablo Vargas, Francisco Calvo, Joel Campbell, Ariel Lassiter, Álvaro Zamora, Joseph Mora, Anthony Contreras, Kenneth Vargas, Elías Aguilar"
cameroon,"André Onana, Frank Anguissa, Faris Moumbagna, Christopher Wooh, Harold Moukoudi, Vincent Aboubakar, Karl Toko Ekambi, Nouhou, Georges-Kevin N'Koudou, Jean-Charles Castelletto, Nicolas Moumi Ngamaleu"
canada,"Alphonso Davies, Jonathan David, Stephen Eustaquio, Ismaël Koné, Alistair Johnston, Tajon Buchanan, Cyle Larin, Kamal Miller, Jacob Shaffelburg, Maxime Crépeau, Iké Ugbo"
slovakia,"Dávid Hancko, Stanislav Lobotka, Tomas Suslov, Lukas Haraslin, László Bénes, Róbert Bozeník, Leo Sauer, Patrik Hrosovsky, Ondrej Duda, Denis Vavro, Marek Rodák"
norway,"Erling Haaland, Martin Ødegaard, Oscar Bobb, Sander Berge, Jørgen Strand Larsen, Antonio Nusa, Alexander Sørloth, Kristoffer Ajer, Julian Ryerson, Andreas Schjelderup, Leo Østigård"
romania,"Radu Drăgușin, Darius Olaru, Dennis Man, Florinel Coman, Nicolae Stanciu, Alexandru Cicâldău, Andrei Burcă, Denis Drăguș, Ștefan Târnovanu, Ianis Hagi, Răzvan Marin"
panama,"Adalberto Carrasquilla, José Córdoba, Andrés Andrade, Ismael Díaz, Puma, Yoel Bárcenas, José Fajardo, Cecilio Waterman, César Blackman, Abdiel Ayarza, Luis Mejía"
mali,"Yves Bissouma, Mohamed Camara, Amadou Haidara, Hamari Traoré, Boubacar Traoré, Kiki Kouyaté, Lassana Coulibaly, Falaye Sacko, Sékou Koïta, Sikou Niakaté, Dorgeles Nene"
chile,"Guillermo Maripán, Diego Valdés, Ben Brereton Díaz, Víctor Dávila, Erick Pulgar, Paulo Díaz, Marcelino Núñez, Darío Osorio, Igor Lichnovsky, Brayan Cortés, Rodrigo Echeverría"
tunisia,"Aïssa Laïdouni, Elias Saad, Mohamed Ali Ben Romdhane, Elias Achouri, Mohamed Belhadj Mahmoud, Ali Abdi, Sayfallah Ltaief, Hamza Rafia, Dylan Bronn, Alaa Ghram, Amin Cherni"
algeria,"Ismaël Bennacer, Rayan Aït-Nouri, Amine Gouiri, Saïd Benrahma, Farès Chaïbi, Mohamed Amoura, Houssem Aouar, Ramiz Zerrouki, Ramy Bensebaini, Hicham Boudaoui, Nabil Bentaleb"
scotland,"Andrew Robertson, Scott McTominay, John McGinn, Billy Gilmour, Ché Adams, Ryan Christie, Kieran Tierney, Scott McKenna, Ben Doak, Callum McGregor, Greg Taylor"
türkiye,"Hakan Çalhanoğlu, Orkun Kökçü, Kenan Yıldız, Enes Ünal, Ferdi Kadıoğlu, Merih Demiral, Kerem Aktürkoğlu, Arda Güler, Salih Özcan, Barış Alper Yılmaz, Çağlar Söyüncü"
ivory coast,"Ousmane Diomande, Odilon Kossounou, Ibrahim Sangaré, Simon Adingra, Karim Konaté, Evan Ndicka, Seko Fofana, Franck Kessié, Wilfried Singo, Jérémie Boga, Jonathan Bamba"
egypt,"Mostafa Mohamed, Mahmoud Trezeguet, Mohamed Abdelmonem, Emam Ashour, Ahmed Hegazy, Hamdi Fathi, Marwan Ateya, Mostafa Fathi, Mohamed Hany, Mohamed Sherif, Afsha"
czech republic,"Tomas Soucek, Patrik Schick, Adam Hlozek, David Jurásek, Michal Sadílek, Ladislav Krejci, Matej Jurasek, Antonín Barák, Vitezslav Jaros, Pavel Sulc, Matej Kovar"
qatar,"Akram Afif, Almoez Ali, Meshaal Barsham, Jassem Gaber, Bassam Al-Rawi, Tarek Salman, Mohammed Waad, Lucas Mendes, Ahmed Alaaeldin, Homam Al-Amin, Ahmed Al-Ganehi"
russia,"Matvey Safonov, Arsen Zakharyan, Fedor Chalov, Konstantin Tyukavin, Ivan Oblyakov, Aleksey Miranchuk, Daler Kuzyaev, Danil Glebov, Igor Diveev, Ivan Sergeev, Artem Karpukas"
serbia,"Dušan Vlahović, Sergej Milinković-Savić, Aleksandar Mitrovic, Strahinja Pavlovic, Lazar Samardžić, Ivan Ilić, Nikola Milenković, Djordje Petrovic, Predrag Rajkovic, Saša Lukić, Filip Kostić"
peru,"Renato Tapia, Luis Abram, Marcos López, Wilder Cartagena, Sergio Peña, Gianluca Lapadula, André Carrillo, Piero Quispe, Pedro Gallese, Alexander Callens, Luis Advíncula"
ecuador,"Moisés Caicedo, Pervis Estupiñán, Piero Hincapié, Willian Pacho, Kendry Páez, José Cifuentes, Félix Torres, Gonzalo Plata, Angelo Preciado, Jeremy Sarmiento, Alan Minda"
nigeria,"Victor Osimhen, Victor Boniface, Ademola Lookman, Alex Iwobi, Terem Moffi, Nathan Tella, Samuel Chukwueze, Wilfred Ndidi, Calvin Bassey, Paul Onuachu, Kelechi Iheanacho"
wales,"Brennan Johnson, Harry Wilson, Neco Williams, Ethan Ampadu, Daniel James, Ben Davies, David Brooks, Joe Rodon, Connor Roberts, Chris Mepham, Nathan Broadhead"
poland,"Piotr Zieliński, Jakub Kiwior, Sebastian Szymanski, Marcin Bulka, Robert Lewandowski, Nicola Zalewski, Jan Bednarek, Jakub Moder, Przemyslaw Frankowski, Wojciech Szczęsny, Adam Buksa"
sweden,"Alexander Isak, Viktor Gyökeres, Dejan Kulusevski, Hugo Larsson, Anthony Elanga, Victor Lindelöf, Mattias Svanberg, Emil Holm, Jens Cajuste, Isak Hien, Hjalmar Ekdal"
hungary,"Dominik Szoboszlai, Milos Kerkez, Roland Sallai, Willi Orbán, Dániel Gazdag, Attila Szalai, András Schäfer, Péter Gulácsi, Dénes Dibusz, Barnabás Varga, Márton Dárdai"
germany,"Jamal Musiala, Florian Wirtz, Leroy Sané, Joshua Kimmich, Kai Havertz, Marc-André ter Stegen, Jonathan Tah, Nico Schlotterbeck, Antonio Rüdiger, Chris Führich, Aleksandar Pavlovic"
uruguay,"Federico Valverde, Ronald Araujo, Manuel Ugarte, Rodrigo Bentancur, Mathías Olivera, Giorgian de Arrascaeta, Nicolás de la Cruz, Facundo Torres, Facundo Pellistri, Matías Viña, Rodrigo Zalazar"
mexico,"Santiago Gimenez, Edson Álvarez, Érick Sánchez, Julián Quiñones, Luis Chávez, Roberto Alvarado, Orbelín Pineda, Luis Romo, Gerardo Arteaga, Johan Vásquez, Carlos Rodríguez"
colombia,"Luis Díaz, Jefferson Lerma, Davinson Sánchez, Luis Sinisterra, Jhon Durán, Daniel Muñoz, Jhon Córdoba, Jhon Arias, Jhon Lucumí, Yáser Asprilla, Rafael Borré"
morocco,"Achraf Hakimi, Nayef Aguerd, Brahim Díaz, Amine Adli, Bilal El Khannouss, Sofyan Amrabat, Youssef En-Nesyri, Eliesse Ben Seghir, Azzedine Ounahi, Ilias Akhomach, Bono"
united states,"Christian Pulisic, Folarin Balogun, Weston McKennie, Yunus Musah, Antonee Robinson, Giovanni Reyna, Tyler Adams, Malik Tillman, Timothy Weah, Brenden Aaronson, Josh Sargent"
croatia,"Josko Gvardiol, Mateo Kovacic, Lovro Majer, Marcelo Brozovic, Josip Stanisic, Martin Baturina, Josip Sutalo, Luka Sucic, Mario Pasalic, Nikola Vlašić, Luka Ivanusec"
italy,"Nicolò Barella, Alessandro Bastoni, Federico Dimarco, Giorgio Scalvini, Gianluigi Donnarumma, Federico Chiesa, Guglielmo Vicario, Alessandro Buongiorno, Davide Frattesi, Giacomo Raspadori, Lorenzo Pellegrini"
portugal,"Rafael Leão, Bernardo Silva, Rúben Dias, Bruno Fernandes, Nuno Mendes, João Palhinha, Pedro Neto, Diogo Jota, Gonçalo Ramos, Diogo Costa, Vitinha"
brazil,"Vinicius Junior, Rodrygo, Bruno Guimarães, Gabriel Martinelli, Éder Militão, Douglas Luiz, Gabriel Magalhães, Lucas Paquetá, Bremer, Marquinhos, Endrick"
belgium,"Jérémy Doku, Loïs Openda, Amadou Onana, Johan Bakayoko, Leandro Trossard, Romelu Lukaku, Charles De Ketelaere, Arthur Vermeeren, Youri Tielemans, Orel Mangala, Wout Faes"
england,"Jude Bellingham, Phil Foden, Bukayo Saka, Harry Kane, Declan Rice, James Maddison, Trent Alexander-Arnold, Jack Grealish, Ollie Watkins, Cole Palmer, Ivan Toney"
spain,"Rodri, Lamine Yamal, Dani Olmo, Mikel Merino, Mikel Oyarzabal, Martín Zubimendi, Nico Williams, Alejandro Grimaldo, Pedro Porro, Robin Le Normand, David Raya"
netherlands,"Xavi Simons, Frenkie de Jong, Matthijs de Ligt, Cody Gakpo, Jeremie Frimpong, Micky van de Ven, Nathan Aké, Donyell Malen, Teun Koopmeiners, Ryan Gravenberch, Virgil van Dijk"
france,"Kylian Mbappé, Aurélien Tchouaméni, Eduardo Camavinga, William Saliba, Kingsley Coman, Ousmane Dembélé, Marcus Thuram, Theo Hernández, Randal Kolo Muani, Warren Zaïre-Emery, Dayot Upamecano"
argentina,"Lautaro Martínez, Julián Álvarez, Enzo Fernández, Alexis Mac Allister, Cristian Romero, Lisandro Martínez, Exequiel Palacios, Nicolás González, Alejandro Garnacho, Nahuel Molina, Lionel Messi"
